s_lat,s_lon,e_lat,e_lon,DepartureISO3,DestinationISO3,value
1.383,43.521,2.02,45.3,Sablaale,a2.02_45.3,1
2.679,41.445,2.04,45.24,Ceel Waaq,a2.04_45.24,1
0.591,41.786,2.04,45.25,Afmadow,a2.04_45.25,1
1.108,43.845,2.04,45.25,Baraawe,a2.04_45.25,31
1.383,43.521,2.04,45.25,Sablaale,a2.04_45.25,5
1.675,44.067,2.04,45.25,Kurtunwaarey,a2.04_45.25,30
1.74,44.722,2.04,45.25,Marka,a2.04_45.25,36
1.935,44.449,2.04,45.25,Qoryooley,a2.04_45.25,46
2.102,42.902,2.04,45.25,Diinsoor,a2.04_45.25,8
2.235,45.077,2.04,45.25,Afgooye,a2.04_45.25,4
2.485,44.007,2.04,45.25,Buur Hakaba,a2.04_45.25,10
2.488,45.659,2.04,45.25,Balcad,a2.04_45.25,15
2.679,41.445,2.04,45.25,Ceel Waaq,a2.04_45.25,1
2.792,44.906,2.04,45.25,Wanla Weyn,a2.04_45.25,7
2.815,42.84,2.04,45.25,Qansax Dheere,a2.04_45.25,7
2.993,45.568,2.04,45.25,Jowhar,a2.04_45.25,28
3.091,46.264,2.04,45.25,Cadale,a2.04_45.25,5
3.266,43.639,2.04,45.25,Baydhaba,a2.04_45.25,3
3.403,45.613,2.04,45.25,Jalalaqsi,a2.04_45.25,2
3.436,41.734,2.04,45.25,Belet Xaawo,a2.04_45.25,2
3.548,46.546,2.04,45.25,Adan Yabaal,a2.04_45.25,4
3.9,45.532,2.04,45.25,Bulo Burto,a2.04_45.25,5
4.052,47.051,2.04,45.25,Ceel Dheer,a2.04_45.25,2
4.243,43.212,2.04,45.25,Rab Dhuure,a2.04_45.25,1
4.724,45.38,2.04,45.25,Belet Weyne,a2.04_45.25,2
6.935,47.688,2.04,45.25,Gaalkacyo,a2.04_45.25,2
1.108,43.845,2.05,45.24,Baraawe,a2.05_45.24,6
1.383,43.521,2.05,45.24,Sablaale,a2.05_45.24,1
1.675,44.067,2.05,45.24,Kurtunwaarey,a2.05_45.24,1
1.74,44.722,2.05,45.24,Marka,a2.05_45.24,11
1.935,44.449,2.05,45.24,Qoryooley,a2.05_45.24,5
